Zipcode,Order Date,Gender,Style,Price,Quantity,Shipment,Cost
Suppressed,2023-12-04,Suppressed,Style 986,Suppressed,7,Air,6650
Suppressed,2023-05-19,Suppressed,Style 914,Suppressed,1,Air,4350
Suppressed,2023-04-23,Suppressed,Style 912,Suppressed,5,Rail,7350
Suppressed,2023-12-08,Suppressed,Style 1094,Suppressed,3,Rail,4150
Suppressed,2023-08-27,Suppressed,Style 470,Suppressed,6,Sea,3300
Suppressed,2023-03-11,Suppressed,Style 664,Suppressed,5,Rail,1150
Suppressed,2023-10-26,Suppressed,Style 144,Suppressed,1,Air,6650
Suppressed,2023-10-20,Suppressed,Style 1457,Suppressed,1,Air,7200
Suppressed,2023-08-15,Suppressed,Style 1196,Suppressed,1,Rail,3000
Suppressed,2023-02-27,Suppressed,Style 729,Suppressed,3,Air,2250
Suppressed,2023-05-17,Suppressed,Style 188,Suppressed,6,Sea,5450
Suppressed,2023-06-19,Suppressed,Style 313,Suppressed,1,Air,1300
Suppressed,2023-11-26,Suppressed,Style 400,Suppressed,7,Rail,2150
Suppressed,2023-07-11,Suppressed,Style 718,Suppressed,5,Air,1800
Suppressed,2023-11-20,Suppressed,Style 121,Suppressed,3,Sea,650
Suppressed,2023-03-06,Suppressed,Style 259,Suppressed,3,Rail,4900
Suppressed,2023-03-08,Suppressed,Style 1003,Suppressed,5,Sea,5350
Suppressed,2023-06-07,Suppressed,Style 451,Suppressed,9,Sea,3500
Suppressed,2023-04-10,Suppressed,Style 765,Suppressed,7,Sea,2500
Suppressed,2023-06-07,Suppressed,Style 1226,Suppressed,3,Air,7050
Suppressed,2023-04-17,Suppressed,Style 1348,Suppressed,3,Rail,3550
Suppressed,2023-10-04,Suppressed,Style 47,Suppressed,7,Air,1300
Suppressed,2023-03-02,Suppressed,Style 81,Suppressed,3,Rail,4250
Suppressed,2023-08-18,Suppressed,Style 1351,Suppressed,5,Sea,450
Suppressed,2023-11-14,Suppressed,Style 38,Suppressed,9,Sea,2050
Suppressed,2023-07-19,Suppressed,Style 2,Suppressed,1,Rail,3250
Suppressed,2023-05-02,Suppressed,Style 746,Suppressed,5,Sea,7100
Suppressed,2023-02-24,Suppressed,Style 770,Suppressed,6,Sea,1950
Suppressed,2023-12-23,Suppressed,Style 647,Suppressed,3,Rail,5200
Suppressed,2023-01-16,Suppressed,Style 13,Suppressed,7,Sea,6450
Suppressed,2023-05-12,Suppressed,Style 6,Suppressed,8,Air,7200
Suppressed,2023-05-10,Suppressed,Style 1068,Suppressed,9,Air,5750
Suppressed,2023-05-06,Suppressed,Style 956,Suppressed,9,Sea,1400
Suppressed,2023-10-19,Suppressed,Style 669,Suppressed,5,Air,6250
Suppressed,2023-02-20,Suppressed,Style 944,Suppressed,6,Air,3500
Suppressed,2023-09-12,Suppressed,Style 1114,Suppressed,5,Sea,4150
Suppressed,2023-04-22,Suppressed,Style 799,Suppressed,5,Air,5900
Suppressed,2023-03-05,Suppressed,Style 287,Suppressed,6,Sea,350
Suppressed,2023-12-26,Suppressed,Style 522,Suppressed,5,Air,5200
Suppressed,2023-05-20,Suppressed,Style 1239,Suppressed,9,Sea,2500
Suppressed,2023-01-14,Suppressed,Style 206,Suppressed,3,Air,1000
Suppressed,2023-08-01,Suppressed,Style 636,Suppressed,5,Sea,4950
Suppressed,2023-04-01,Suppressed,Style 1426,Suppressed,5,Air,1350
Suppressed,2023-03-16,Suppressed,Style 1019,Suppressed,3,Sea,2600
Suppressed,2023-07-26,Suppressed,Style 158,Suppressed,9,Air,5200
