Age,Gender,Race,Marital Status,Education,Native Country,Work Class,Salary Class,Occupation
60-69,Female,*,Single,Level-1,Country 3,Level-1,<=50K,Occupation 33
40-49,Female,*,Single,,Country 32,Level-1,<=50K,Occupation 35
20-29,Male,*,Single,Level-1,Country 25,Level-1,>50K,Occupation 13
30-39,Male,*,Single,Level-1,Country 23,Level-1,<=50K,Occupation 10
40-49,Male,*,Single,Level-1,Country 28,Level-1,>50K,Occupation 25
20-29,Male,*,Single,Level-1,Country 15,Level-1,>50K,Occupation 22
40-49,Male,*,Single,Level-1,Country 3,Level-1,>50K,Occupation 37
80-89,Female,*,Single,,Country 1,Level-1,<=50K,Occupation 37
70-79,Male,*,Single,Level-1,Country 20,Level-1,>50K,Occupation 13
50-59,Male,*,Single,Level-1,Country 27,Level-1,>50K,Occupation 29
70-79,Male,*,Single,,Country 32,Level-1,<=50K,Occupation 6
70-79,Male,*,Single,Level-1,Country 35,Level-1,<=50K,Occupation 27
50-59,Male,*,Single,Level-1,Country 41,Level-1,<=50K,Occupation 26
80-89,Male,*,Single,Level-1,Country 36,Level-1,>50K,Occupation 38
20-29,Female,*,Single,Level-1,Country 18,Level-1,>50K,Occupation 17
70-79,Female,*,Single,Level-1,Country 33,Level-1,>50K,Occupation 8
40-49,Female,*,Single,Level-1,Country 28,Level-1,<=50K,Occupation 12
80-89,Female,*,Single,Level-1,Country 13,Level-1,>50K,Occupation 22
90-99,Male,*,Single,Level-1,Country 35,Level-1,<=50K,Occupation 29
80-89,Female,*,Single,Level-1,Country 34,Level-1,>50K,Occupation 29
70-79,Male,*,Single,,Country 13,Level-1,<=50K,Occupation 17
Suppressed,Suppressed,Suppressed,Suppressed,Level-1,Country 32,Level-1,<=50K,Occupation 35
20-29,Female,*,Single,Level-1,Country 8,Level-1,<=50K,Occupation 8
50-59,Female,*,Single,Level-1,Country 8,Level-1,>50K,Occupation 14
Suppressed,Suppressed,Suppressed,Suppressed,Level-1,Country 19,Level-1,<=50K,Occupation 26
60-69,Male,*,Single,Level-1,Country 21,Level-1,>50K,Occupation 31
60-69,Male,*,Single,Level-1,Country 12,Level-1,<=50K,Occupation 8
50-59,Female,*,Single,Level-1,Country 19,Level-1,<=50K,Occupation 7
90-99,Male,*,Single,Level-1,Country 27,Level-1,<=50K,Occupation 5
10-19,Female,*,Single,Level-1,Country 27,Level-1,<=50K,Occupation 38
20-29,Female,*,Single,,Country 33,Level-1,>50K,Occupation 24
20-29,Male,*,Single,Level-1,Country 35,Level-1,>50K,Occupation 8
70-79,Male,*,Single,Level-1,Country 30,Level-1,>50K,Occupation 3
70-79,Male,*,Single,Level-1,Country 41,Level-1,<=50K,Occupation 26
80-89,Female,*,Single,Level-1,Country 7,Level-1,>50K,Occupation 3
40-49,Female,*,Single,Level-1,Country 33,Level-1,>50K,Occupation 37
20-29,Male,*,Single,Level-1,Country 24,Level-1,<=50K,Occupation 8
40-49,Male,*,Single,Level-1,Country 36,Level-1,>50K,Occupation 12
40-49,Female,*,Single,Level-1,Country 41,Level-1,<=50K,Occupation 4
40-49,Female,*,Single,Level-1,Country 24,Level-1,<=50K,Occupation 19
70-79,Female,*,Single,Level-1,Country 34,Level-1,>50K,Occupation 27
40-49,Male,*,Single,Level-1,Country 30,Level-1,<=50K,Occupation 5
50-59,Female,*,Single,Level-1,Country 3,Level-1,>50K,Occupation 21
30-39,Female,*,Single,Level-1,Country 25,Level-1,>50K,Occupation 38
60-69,Male,*,Single,Level-1,Country 24,Level-1,<=50K,Occupation 16
