Zipcode,Order Date,Gender,Style,Price,Quantity,Shipment,Cost
0-99999,2023-05-17,Any,Any,0-9999,3,Air,7400
0-99999,2023-05-26,Any,Any,0-9999,6,Sea,5500
0-99999,2023-02-03,Any,Any,0-9999,7,Sea,5750
0-99999,2023-04-13,Any,Any,0-9999,6,Air,3050
0-99999,2023-03-21,Any,Any,0-9999,7,Air,2350
0-99999,2023-05-15,Any,Any,0-9999,3,Air,1650
0-99999,2023-06-25,Any,Any,0-9999,2,Sea,1050
0-99999,2023-01-04,Any,Any,0-9999,10,Rail,1800
0-99999,2023-10-28,Any,Any,0-9999,6,Air,850
0-99999,2023-05-08,Any,Any,0-9999,7,Air,7050
0-99999,2023-06-09,Any,Any,0-9999,6,Sea,3250
0-99999,2023-04-15,Any,Any,0-9999,10,Air,1450
0-99999,2023-05-18,Any,Any,0-9999,3,Rail,4800
0-99999,2023-01-15,Any,Any,0-9999,3,Air,3550
0-99999,2023-07-10,Any,Any,0-9999,3,Air,600
0-99999,2023-02-03,Any,Any,0-9999,2,Sea,350
0-99999,2023-09-10,Any,Any,0-9999,3,Sea,6850
0-99999,2023-10-28,Any,Any,0-9999,8,Air,450
0-99999,2023-04-27,Any,Any,0-9999,7,Sea,7000
0-99999,2023-10-11,Any,Any,0-9999,7,Sea,2150
0-99999,2023-09-07,Any,Any,0-9999,6,Air,400
0-99999,2023-03-17,Any,Any,0-9999,10,Air,2200
0-99999,2023-09-21,Any,Any,0-9999,3,Air,7050
0-99999,2023-10-06,Any,Any,0-9999,10,Sea,2600
0-99999,2023-11-11,Any,Any,0-9999,10,Air,4450
0-99999,2023-05-27,Any,Any,0-9999,2,Air,6200
0-99999,2023-11-18,Any,Any,0-9999,7,Sea,6950
0-99999,2023-02-06,Any,Any,0-9999,3,Sea,3750
0-99999,2023-08-28,Any,Any,0-9999,3,Air,200
0-99999,2023-09-03,Any,Any,0-9999,10,Air,6950
0-99999,2023-04-03,Any,Any,0-9999,10,Air,5900
0-99999,2023-09-19,Any,Any,0-9999,10,Sea,4500
0-99999,2023-03-01,Any,Any,0-9999,7,Air,400
0-99999,2023-06-12,Any,Any,0-9999,3,Air,1500
0-99999,2023-04-20,Any,Any,0-9999,6,Air,1750
0-99999,2023-05-16,Any,Any,0-9999,8,Air,2200
0-99999,2023-01-26,Any,Any,0-9999,3,Sea,3200
0-99999,2023-07-26,Any,Any,0-9999,10,Air,4100
0-99999,2023-12-20,Any,Any,0-9999,3,Air,2800
0-99999,2023-10-26,Any,Any,0-9999,2,Air,3950
0-99999,2023-03-09,Any,Any,0-9999,7,Air,4150
0-99999,2023-02-16,Any,Any,0-9999,3,Air,3650
0-99999,2023-05-22,Any,Any,0-9999,7,Air,5600
0-99999,2023-11-04,Any,Any,0-9999,7,Sea,4200
0-99999,2023-01-16,Any,Any,0-9999,10,Sea,3850
0-99999,2023-05-02,Any,Any,0-9999,3,Sea,2900
0-99999,2023-09-23,Any,Any,0-9999,8,Air,7050
0-99999,2023-04-02,Any,Any,0-9999,2,Air,1800
0-99999,2023-10-23,Any,Any,0-9999,2,Air,2250
0-99999,2023-10-08,Any,Any,0-9999,3,Air,6150
0-99999,2023-02-24,Any,Any,0-9999,6,Air,1100
0-99999,2023-04-27,Any,Any,0-9999,10,Air,4550
0-99999,2023-06-24,Any,Any,0-9999,10,Air,550
0-99999,2023-08-28,Any,Any,0-9999,8,Air,5650
0-99999,2023-01-10,Any,Any,0-9999,6,Sea,4200
0-99999,2023-09-22,Any,Any,0-9999,2,Sea,7300
0-99999,2023-08-17,Any,Any,0-9999,10,Sea,3900
0-99999,2023-12-15,Any,Any,0-9999,3,Air,4800
0-99999,2023-12-07,Any,Any,0-9999,3,Air,5000
0-99999,2023-12-28,Any,Any,0-9999,7,Sea,2750
0-99999,2023-03-14,Any,Any,0-9999,3,Sea,7050
0-99999,2023-09-07,Any,Any,0-9999,4,Air,2450
0-99999,2023-12-17,Any,Any,0-9999,7,Air,1350
0-99999,2023-07-06,Any,Any,0-9999,4,Sea,850
0-99999,2023-08-26,Any,Any,0-9999,2,Sea,5000
0-99999,2023-01-14,Any,Any,0-9999,10,Air,6050
0-99999,2023-05-18,Any,Any,0-9999,8,Sea,4150
0-99999,2023-08-22,Any,Any,0-9999,10,Air,950
0-99999,2023-06-19,Any,Any,0-9999,2,Air,4700
0-99999,2023-02-28,Any,Any,0-9999,3,Rail,1750
0-99999,2023-06-25,Any,Any,0-9999,8,Air,1000
0-99999,2023-07-01,Any,Any,0-9999,2,Sea,2150
0-99999,2023-07-12,Any,Any,0-9999,4,Sea,1450
0-99999,2023-05-03,Any,Any,0-9999,3,Air,1450
0-99999,2023-03-08,Any,Any,0-9999,10,Sea,200
0-99999,2023-04-14,Any,Any,0-9999,8,Sea,4400
0-99999,2023-02-19,Any,Any,0-9999,7,Rail,3600
0-99999,2023-06-25,Any,Any,0-9999,4,Sea,500
0-99999,2023-11-03,Any,Any,0-9999,4,Air,7400
0-99999,2023-07-18,Any,Any,0-9999,3,Air,2550
0-99999,2023-10-11,Any,Any,0-9999,8,Sea,4700
0-99999,2023-01-12,Any,Any,0-9999,7,Air,3450
0-99999,2023-11-26,Any,Any,0-9999,6,Air,6450
0-99999,2023-08-07,Any,Any,0-9999,7,Air,2200
0-99999,2023-10-22,Any,Any,0-9999,10,Air,6550
0-99999,2023-02-06,Any,Any,0-9999,7,Air,1250
0-99999,2023-10-18,Any,Any,0-9999,10,Air,2250
0-99999,2023-07-22,Any,Any,0-9999,3,Sea,1650
0-99999,2023-03-07,Any,Any,0-9999,2,Air,3950
0-99999,2023-03-12,Any,Any,0-9999,8,Air,5150
0-99999,2023-06-01,Any,Any,0-9999,10,Rail,250
0-99999,2023-11-12,Any,Any,0-9999,2,Air,200
0-99999,2023-11-21,Any,Any,0-9999,10,Sea,6200
0-99999,2023-12-14,Any,Any,0-9999,4,Sea,1200
0-99999,2023-07-10,Any,Any,0-9999,7,Sea,2450
0-99999,2023-09-15,Any,Any,0-9999,3,Air,3950
0-99999,2023-06-03,Any,Any,0-9999,8,Rail,4400
0-99999,2023-04-21,Any,Any,0-9999,3,Air,3450
0-99999,2023-10-11,Any,Any,0-9999,7,Air,4600
0-99999,2023-02-02,Any,Any,0-9999,4,Air,650
0-99999,2023-01-09,Any,Any,0-9999,7,Sea,5800
0-99999,2023-03-06,Any,Any,0-9999,2,Rail,3650
0-99999,2023-05-22,Any,Any,0-9999,10,Air,2250
0-99999,2023-04-14,Any,Any,0-9999,4,Air,6400
0-99999,2023-10-08,Any,Any,0-9999,10,Sea,700
0-99999,2023-08-26,Any,Any,0-9999,10,Air,5200
0-99999,2023-01-13,Any,Any,0-9999,3,Sea,1050
