Zipcode,Order Date,Gender,Style,Price,Quantity,Shipment,Cost
20121,2023-06-14,Female,Formal,200,4,Air,110
20121,2023-01-14,Female,Casual,250,2,Sea,185
80121,2023-09-18,Female,Casual,100,3,Sea,125
16121,2023-10-09,Female,Casual,150,2,Air,550
16121,2023-08-01,Male,Formal,125,1,Sea,350
40121,2023-10-19,Female,Casual,600,5,Air,210
30121,2023-03-17,Male,Casual,200,3,Sea,500
70121,2023-08-20,Male,Casual,400,4,Sea,185
30121,2023-02-28,Male,Casual,200,3,Sea,426
50123,2023-02-21,Male,Casual,200,5,Sea,500
30121,2023-11-25,Female,Casual,200,3,Air,500
80121,2023-09-03,Female,Casual,50,2,Sea,210
20121,2023-10-12,Male,Casual,50,5,Sea,125
30121,2023-06-01,Male,Formal,400,3,Sea,110
20121,2023-10-22,Female,Casual,200,4,Sea,140
16121,2023-12-26,Male,Casual,400,3,Air,210
90121,2023-05-27,Female,Casual,500,5,Sea,500
30121,2023-09-05,Male,Formal,250,2,Sea,185
10122,2023-04-12,Female,Casual,150,5,Air,125
70121,2023-02-24,Female,Casual,150,5,Air,185
16121,2023-09-15,Female,Casual,50,1,Sea,140
30121,2023-01-14,Female,Casual,600,4,Sea,550
90121,2023-06-23,Female,Casual,250,1,Sea,125
10122,2023-09-26,Female,Casual,50,1,Air,140
90121,2023-12-16,Male,Casual,500,3,Air,600
70121,2023-06-19,Male,Formal,250,2,Sea,475
10122,2023-12-27,Female,Casual,75,1,Air,426
10122,2023-07-05,Male,Casual,500,5,Sea,110
30121,2023-12-09,Male,Casual,300,5,Sea,210
16121,2023-11-06,Male,Casual,600,5,Air,110
40121,2023-05-13,Female,Formal,125,3,Sea,210
30121,2023-06-06,Female,Formal,400,4,Sea,426
80121,2023-09-24,Female,Casual,150,3,Sea,350
90121,2023-09-02,Female,Casual,150,2,Air,500
30121,2023-04-01,Male,Casual,200,4,Sea,426
16121,2023-09-17,Female,Casual,125,4,Sea,110
90121,2023-01-26,Female,Formal,100,3,Sea,350
60121,2023-03-15,Female,Casual,200,4,Sea,125
16121,2023-07-04,Male,Casual,200,1,Sea,125
50123,2023-06-03,Male,Formal,250,2,Air,125
60121,2023-02-25,Male,Formal,400,3,Sea,110
60121,2023-02-04,Male,Casual,125,4,Air,550
16121,2023-11-13,Female,Casual,100,5,Air,350
90121,2023-09-11,Female,Casual,125,2,Air,600
10122,2023-09-16,Female,Casual,600,3,Air,350
40121,2023-04-28,Male,Casual,125,3,Air,210
30121,2023-04-06,Male,Casual,50,3,Sea,210
40121,2023-03-16,Female,Casual,100,5,Air,185
10122,2023-10-15,Male,Casual,150,1,Sea,600
60121,2023-09-26,Male,Casual,50,5,Sea,210
50123,2023-10-08,Male,Casual,150,1,Air,350
10122,2023-10-19,Male,Casual,150,3,Air,350
40121,2023-01-25,Male,Casual,75,4,Sea,426
50123,2023-03-21,Male,Casual,50,5,Air,600
20121,2023-04-20,Male,Casual,50,5,Sea,350
80121,2023-03-22,Female,Casual,125,2,Sea,110
30121,2023-03-11,Female,Casual,50,4,Sea,140
50123,2023-09-15,Male,Casual,300,5,Air,140
20121,2023-12-14,Male,Casual,150,4,Air,140
20121,2023-11-07,Female,Casual,50,2,Air,475
80121,2023-12-24,Female,Casual,150,4,Air,110
20121,2023-03-16,Female,Casual,100,3,Air,500
30121,2023-06-08,Female,Casual,100,5,Air,475
16121,2023-10-22,Male,Casual,600,5,Air,600
50123,2023-12-25,Female,Casual,125,4,Sea,210
80121,2023-02-05,Female,Casual,50,5,Air,125
10122,2023-05-19,Female,Casual,250,5,Air,550
90121,2023-07-27,Female,Formal,300,1,Air,210
80121,2023-03-02,Male,Casual,150,2,Air,600
50123,2023-06-15,Male,Casual,100,3,Air,600
50123,2023-07-20,Male,Casual,250,3,Sea,600
80121,2023-04-04,Male,Casual,300,3,Air,500
30121,2023-09-05,Female,Casual,200,2,Sea,500
80121,2023-09-26,Male,Casual,600,4,Air,500
20121,2023-02-22,Male,Casual,125,2,Air,426
90121,2023-03-13,Female,Casual,250,1,Air,350
40121,2023-10-22,Male,Formal,500,1,Sea,125
80121,2023-10-25,Female,Casual,150,2,Sea,210
80121,2023-10-03,Male,Casual,50,1,Sea,350
60121,2023-04-24,Female,Formal,200,5,Sea,210
20121,2023-09-08,Male,Casual,400,4,Sea,140
30121,2023-03-02,Male,Casual,50,3,Air,550
60121,2023-04-20,Female,Casual,125,2,Sea,426
10122,2023-02-08,Female,Casual,75,4,Air,475
80121,2023-01-11,Male,Casual,75,4,Sea,426
70121,2023-03-01,Male,Casual,50,5,Air,210
80121,2023-02-15,Male,Casual,100,5,Sea,110
90121,2023-06-06,Male,Casual,200,1,Sea,350
10122,2023-08-09,Male,Formal,100,3,Air,140
90121,2023-08-13,Female,Casual,200,4,Air,350
70121,2023-12-16,Male,Casual,150,3,Air,210
70121,2023-03-01,Female,Formal,300,1,Sea,350
30121,2023-01-08,Male,Casual,75,2,Air,426
30121,2023-09-18,Female,Casual,300,1,Air,426
10122,2023-10-13,Male,Casual,125,3,Air,110
16121,2023-12-23,Female,Casual,600,4,Sea,350
20121,2023-09-09,Female,Casual,200,3,Air,110
80121,2023-03-18,Male,Formal,250,4,Sea,110
20121,2023-02-18,Female,Formal,75,2,Sea,125
30121,2023-04-11,Female,Casual,50,5,Air,210
