Zipcode,Order Date,Gender,Style,Price,Quantity,Shipment,Cost
601**,2023-05-27,Any,Outdoor,200,2,Rail,426
201**,2023-06-12,Any,Casual,200,4,Sea,350
401**,2023-07-28,Any,Business,100,3,Air,350
Any,2023-08-23,Any,Casual,Any,3,Sea,426
Any,2023-07-07,Any,Formal,Any,5,Air,185
Any,2023-07-13,Any,Casual,Any,2,Sea,475
Any,2023-03-18,Any,Casual,Any,4,Air,110
Any,2023-05-21,Any,Casual,Any,3,Air,185
Any,2023-09-07,Any,Casual,Any,1,Air,210
Any,2023-06-19,Any,Formal,Any,1,Air,125
401**,2023-09-09,Any,Casual,100,1,Air,426
Any,2023-07-05,Any,Formal,Any,2,Air,185
Any,2023-08-17,Any,Formal,Any,2,Sea,140
Any,2023-07-05,Any,Casual,Any,5,Air,125
Any,2023-04-26,Any,Casual,Any,2,Air,140
201**,2023-05-10,Any,Business,200,3,Rail,350
Any,2023-11-24,Any,Casual,Any,2,Air,426
Any,2023-02-02,Any,Outdoor,Any,5,Air,350
Any,2023-08-07,Any,Casual,Any,5,Air,185
Any,2023-02-19,Any,Casual,Any,5,Sea,110
Any,2023-11-22,Any,Formal,Any,1,Air,110
Any,2023-01-11,Any,Casual,Any,4,Sea,140
Any,2023-11-27,Any,Casual,Any,4,Sea,125
Any,2023-09-17,Any,Casual,Any,2,Air,125
Any,2023-05-13,Any,Formal,Any,5,Sea,110
101**,2023-07-13,Any,Casual,100,3,Air,475
Any,2023-06-13,Any,Casual,Any,4,Sea,500
Any,2023-09-27,Any,Casual,Any,5,Sea,426
Any,2023-10-03,Any,Casual,Any,1,Rail,125
Any,2023-11-22,Any,Casual,Any,2,Air,140
Any,2023-01-20,Any,Casual,Any,4,Sea,500
601**,2023-04-17,Any,Formal,200,3,Sea,140
Any,2023-07-15,Any,Business,Any,3,Sea,140
Any,2023-10-17,Any,Casual,Any,4,Air,110
Any,2023-08-20,Any,Casual,Any,4,Air,125
101**,2023-03-08,Any,Outdoor,100,3,Air,500
Any,2023-09-12,Any,Casual,Any,3,Air,600
Any,2023-01-01,Any,Casual,Any,1,Air,110
Any,2023-04-07,Any,Business,Any,5,Air,350
Any,2023-01-08,Any,Casual,Any,3,Sea,110
Any,2023-07-19,Any,Casual,Any,2,Sea,110
Any,2023-07-02,Any,Formal,Any,5,Sea,550
Any,2023-03-27,Any,Business,Any,3,Sea,475
Any,2023-09-25,Any,Casual,Any,3,Sea,110
Any,2023-01-26,Any,Formal,Any,4,Sea,475
Any,2023-08-25,Any,Casual,Any,5,Air,125
Any,2023-07-07,Any,Casual,Any,1,Sea,140
Any,2023-10-16,Any,Outdoor,Any,1,Air,110
Any,2023-11-24,Any,Casual,Any,3,Air,426
Any,2023-03-23,Any,Casual,Any,1,Air,210
401**,2023-07-01,Any,Business,100,2,Air,475
Any,2023-01-27,Any,Casual,Any,3,Air,185
Any,2023-06-13,Any,Casual,Any,4,Sea,185
101**,2023-07-22,Any,Formal,100,2,Sea,500
161**,2023-08-14,Any,Outdoor,100,2,Air,350
Any,2023-03-12,Any,Casual,Any,2,Air,210
101**,2023-03-23,Any,Formal,100,3,Rail,426
201**,2023-02-09,Any,Casual,200,2,Rail,185
801**,2023-06-09,Any,Casual,100,4,Sea,140
Any,2023-04-28,Any,Outdoor,Any,2,Air,210
Any,2023-02-12,Any,Casual,Any,2,Air,140
Any,2023-07-21,Any,Casual,Any,5,Air,110
161**,2023-08-15,Any,Casual,100,5,Air,350
401**,2023-03-11,Any,Casual,100,3,Sea,110
161**,2023-08-08,Any,Casual,100,5,Air,426
201**,2023-06-01,Any,Outdoor,200,1,Sea,125
801**,2023-08-23,Any,Casual,100,5,Sea,125
601**,2023-07-03,Any,Casual,200,4,Rail,550
Any,2023-11-20,Any,Formal,Any,1,Air,210
Any,2023-03-16,Any,Casual,Any,5,Air,350
Any,2023-06-08,Any,Casual,Any,4,Sea,185
101**,2023-01-09,Any,Casual,100,2,Sea,125
Any,2023-09-11,Any,Formal,Any,5,Rail,110
101**,2023-03-21,Any,Outdoor,100,4,Sea,350
401**,2023-07-10,Any,Casual,100,3,Sea,500
Any,2023-11-04,Any,Casual,Any,1,Air,350
601**,2023-12-06,Any,Casual,200,4,Air,125
Any,2023-09-28,Any,Casual,Any,4,Air,110
Any,2023-12-08,Any,Casual,Any,2,Air,426
Any,2023-02-03,Any,Casual,Any,2,Air,110
161**,2023-10-18,Any,Formal,100,3,Sea,140
Any,2023-05-18,Any,Casual,Any,3,Air,426
Any,2023-03-22,Any,Casual,Any,5,Air,426
Any,2023-02-20,Any,Casual,Any,3,Air,500
Any,2023-05-14,Any,Business,Any,2,Air,140
Any,2023-06-20,Any,Casual,Any,3,Sea,110
Any,2023-06-22,Any,Formal,Any,3,Air,426
801**,2023-06-21,Any,Casual,100,4,Air,475
201**,2023-01-18,Any,Formal,200,2,Sea,210
601**,2023-03-10,Any,Casual,200,2,Sea,426
Any,2023-04-15,Any,Formal,Any,5,Air,210
801**,2023-12-04,Any,Casual,100,2,Sea,110
Any,2023-07-15,Any,Casual,Any,1,Sea,125
Any,2023-09-02,Any,Casual,Any,5,Air,350
Any,2023-01-21,Any,Formal,Any,3,Sea,350
Any,2023-07-04,Any,Business,Any,3,Sea,426
Any,2023-06-07,Any,Business,Any,4,Sea,426
Any,2023-06-12,Any,Business,Any,5,Air,140
Any,2023-02-07,Any,Casual,Any,2,Sea,140
401**,2023-09-09,Any,Outdoor,100,5,Air,475
