Age,Gender,Race,Marital Status,Education,Native Country,Work Class,Salary Class,Occupation
55,Male,Hispanic,Separated,Bachelor's,Country 39,Other,>50K,Occupation 27
87,Male,White,Other,High School,Country 33,Self-Employed,>50K,Occupation 25
77,Female,Black,Widowed,Doctorate,Country 37,Self-Employed,>50K,Occupation 39
88,Female,Black,Single,Doctorate,Country 25,Private,<=50K,Occupation 18
71,Male,Other,Married,Associate,Country 10,Retired,>50K,Occupation 24
89,Male,Asian,Partnered,Some College,Country 36,Self-Employed,>50K,Occupation 29
57,Female,Other,Married,Doctorate,Country 6,Retired,<=50K,Occupation 5
64,Male,Hispanic,Partnered,None,Country 7,Private,>50K,Occupation 19
44,Female,Black,Widowed,None,Country 13,Student,>50K,Occupation 18
59,Female,Hispanic,Single,None,Country 3,Self-Employed,>50K,Occupation 37
87,Female,Other,Single,None,Country 25,Student,>50K,Occupation 4
90,Female,White,Other,None,Country 31,Private,>50K,Occupation 4
73,Female,White,Single,None,Country 15,Other,<=50K,Occupation 39
50,Female,White,Partnered,Associate,Country 33,Unemployed,>50K,Occupation 17
66,Male,Other,Divorced,Associate,Country 33,Student,>50K,Occupation 6
53,Male,Asian,Widowed,Associate,Country 11,Unemployed,<=50K,Occupation 40
62,Male,White,Widowed,None,Country 40,Unemployed,>50K,Occupation 27
30,Male,Black,Single,Bachelor's,Country 8,Student,<=50K,Occupation 38
56,Male,White,Married,Doctorate,Country 26,Retired,<=50K,Occupation 5
83,Female,White,Married,High School,Country 32,Retired,<=50K,Occupation 9
32,Female,Black,Separated,High School,Country 2,Government,<=50K,Occupation 32
45,Male,Black,Other,Doctorate,Country 38,Private,>50K,Occupation 28
89,Female,White,Partnered,Some College,Country 7,Retired,<=50K,Occupation 1
22,Female,Other,Married,Bachelor's,Country 17,Government,>50K,Occupation 30
44,Male,White,Widowed,None,Country 18,Retired,>50K,Occupation 5
49,Female,Black,Other,None,Country 15,Student,<=50K,Occupation 24
90,Male,White,Single,Doctorate,Country 3,Unemployed,>50K,Occupation 17
62,Male,White,Partnered,High School,Country 31,Government,<=50K,Occupation 34
63,Male,Other,Divorced,Doctorate,Country 30,Retired,<=50K,Occupation 17
47,Male,Black,Separated,Doctorate,Country 2,Other,>50K,Occupation 15
70,Female,Hispanic,Married,Master's,Country 4,Unemployed,>50K,Occupation 4
45,Female,Black,Separated,Associate,Country 37,Student,>50K,Occupation 5
70,Male,Black,Separated,Bachelor's,Country 17,Retired,<=50K,Occupation 15
76,Male,Black,Separated,Master's,Country 21,Other,>50K,Occupation 39
61,Female,Hispanic,Divorced,Some College,Country 10,Unemployed,<=50K,Occupation 7
90,Male,Hispanic,Divorced,Associate,Country 40,Other,<=50K,Occupation 27
41,Female,Hispanic,Widowed,Some College,Country 40,Student,<=50K,Occupation 19
54,Female,Asian,Partnered,Bachelor's,Country 35,Private,>50K,Occupation 7
60,Male,White,Separated,Bachelor's,Country 12,Private,>50K,Occupation 7
22,Male,Black,Divorced,Master's,Country 1,Retired,>50K,Occupation 8
55,Male,Black,Separated,High School,Country 23,Retired,>50K,Occupation 29
49,Female,Hispanic,Married,None,Country 8,Self-Employed,<=50K,Occupation 11
82,Male,Asian,Single,Doctorate,Country 27,Unemployed,>50K,Occupation 24
32,Female,Hispanic,Divorced,Associate,Country 30,Other,<=50K,Occupation 39
56,Male,Other,Single,Some College,Country 27,Private,<=50K,Occupation 29
73,Female,Other,Widowed,Master's,Country 24,Private,<=50K,Occupation 27
90,Male,White,Widowed,Some College,Country 1,Government,>50K,Occupation 17
47,Male,Other,Widowed,Master's,Country 13,Other,<=50K,Occupation 29
60,Female,Hispanic,Married,High School,Country 39,Retired,<=50K,Occupation 32
82,Male,Other,Partnered,Master's,Country 7,Government,<=50K,Occupation 2
51,Female,White,Partnered,Associate,Country 15,Self-Employed,<=50K,Occupation 31
39,Female,Black,Partnered,Bachelor's,Country 26,Self-Employed,<=50K,Occupation 31
79,Female,Hispanic,Partnered,None,Country 14,Student,>50K,Occupation 28
24,Female,Asian,Divorced,Doctorate,Country 8,Private,>50K,Occupation 39
84,Female,Hispanic,Married,Master's,Country 2,Government,<=50K,Occupation 34
21,Female,White,Partnered,None,Country 8,Unemployed,>50K,Occupation 2
50,Male,Asian,Married,None,Country 5,Private,>50K,Occupation 1
30,Male,Hispanic,Divorced,Master's,Country 37,Other,<=50K,Occupation 15
29,Male,Other,Partnered,Associate,Country 11,Student,>50K,Occupation 2
42,Male,Asian,Married,Doctorate,Country 2,Other,>50K,Occupation 23
32,Female,Asian,Separated,Master's,Country 7,Self-Employed,<=50K,Occupation 8
38,Male,White,Other,High School,Country 32,Student,<=50K,Occupation 2
77,Female,Other,Other,None,Country 13,Self-Employed,<=50K,Occupation 35
71,Female,Hispanic,Separated,None,Country 30,Unemployed,>50K,Occupation 33
21,Male,Other,Other,High School,Country 20,Government,<=50K,Occupation 21
82,Male,White,Single,Master's,Country 32,Student,>50K,Occupation 21
62,Male,White,Other,Master's,Country 16,Government,<=50K,Occupation 30
69,Male,Black,Divorced,Associate,Country 32,Retired,>50K,Occupation 31
59,Female,Hispanic,Single,Some College,Country 6,Unemployed,>50K,Occupation 2
59,Female,White,Divorced,Master's,Country 3,Unemployed,>50K,Occupation 32
