Zipcode,Order Date,Gender,Style,Price,Quantity,Shipment,Cost
46676,2023-05-17,Male,Style 1451,2900,3,Air,7400
35784,2023-05-26,Male,Style 628,2170,6,Sea,5500
69311,2023-02-03,Male,Style 432,1700,7,Sea,5750
84608,2023-04-13,Male,Style 804,1290,6,Air,3050
36683,2023-03-21,Male,Style 223,720,7,Air,2350
97574,2023-05-15,Female,Style 1397,2760,3,Air,1650
68606,2023-06-25,Male,Style 1206,1910,2,Sea,1050
37468,2023-01-04,Male,Style 98,1000,10,Rail,1800
47039,2023-10-28,Female,Style 601,2160,6,Air,850
36898,2023-05-08,Female,Style 1228,3230,7,Air,7050
37054,2023-06-09,Male,Style 1307,3020,6,Sea,3250
53107,2023-04-15,Female,Style 110,1090,10,Air,1450
24940,2023-05-18,Female,Style 190,2810,3,Rail,4800
75089,2023-01-15,Male,Style 710,2730,3,Air,3550
19020,2023-07-10,Female,Style 64,2460,3,Air,600
26866,2023-02-03,Male,Style 960,1080,2,Sea,350
33862,2023-09-10,Male,Style 458,1230,3,Sea,6850
78899,2023-10-28,Male,Style 1328,2800,8,Air,450
24534,2023-04-27,Male,Style 968,1280,7,Sea,7000
76734,2023-10-11,Female,Style 702,3340,7,Sea,2150
21896,2023-09-07,Male,Style 1258,3190,6,Air,400
96938,2023-03-17,Female,Style 559,2310,10,Air,2200
85119,2023-09-21,Female,Style 445,730,3,Air,7050
20137,2023-10-06,Female,Style 1497,3140,10,Sea,2600
28676,2023-11-11,Female,Style 314,3420,10,Air,4450
64663,2023-05-27,Male,Style 169,2960,2,Air,6200
45974,2023-11-18,Female,Style 234,1630,7,Sea,6950
32092,2023-02-06,Male,Style 1176,1830,3,Sea,3750
22628,2023-08-28,Female,Style 223,3280,3,Air,200
33571,2023-09-03,Female,Style 695,630,10,Air,6950
18995,2023-04-03,Female,Style 980,2360,10,Air,5900
17979,2023-09-19,Female,Style 1092,2390,10,Sea,4500
76692,2023-03-01,Female,Style 1135,610,7,Air,400
58219,2023-06-12,Male,Style 876,2400,3,Air,1500
98552,2023-04-20,Female,Style 2,2890,6,Air,1750
32701,2023-05-16,Female,Style 1145,2890,8,Air,2200
92094,2023-01-26,Male,Style 987,1210,3,Sea,3200
26931,2023-07-26,Female,Style 577,760,10,Air,4100
60989,2023-12-20,Female,Style 623,3150,3,Air,2800
12150,2023-10-26,Male,Style 342,2300,2,Air,3950
24966,2023-03-09,Female,Style 36,3060,7,Air,4150
95230,2023-02-16,Male,Style 697,2400,3,Air,3650
98963,2023-05-22,Female,Style 732,2360,7,Air,5600
54246,2023-11-04,Female,Style 1418,1560,7,Sea,4200
55375,2023-01-16,Male,Style 945,2680,10,Sea,3850
23361,2023-05-02,Male,Style 71,450,3,Sea,2900
12971,2023-09-23,Female,Style 359,2650,8,Air,7050
75261,2023-04-02,Female,Style 355,3130,2,Air,1800
96620,2023-10-23,Male,Style 1333,880,2,Air,2250
47238,2023-10-08,Female,Style 1045,470,3,Air,6150
34200,2023-02-24,Male,Style 1412,1910,6,Air,1100
62268,2023-04-27,Male,Style 793,1550,10,Air,4550
63118,2023-06-24,Male,Style 1122,360,10,Air,550
81754,2023-08-28,Male,Style 452,420,8,Air,5650
46362,2023-01-10,Male,Style 573,2130,6,Sea,4200
31340,2023-09-22,Female,Style 208,2370,2,Sea,7300
21144,2023-08-17,Male,Style 297,430,10,Sea,3900
