k,l,QI Level,Execution Time (k-Anonymity),Execution Time (Entropy ℓ-Diversity),Execution Time (Recursive ℓ-Diversity)
2,2,3,0.020888566970825195,0.9465632438659668,0.8902781009674072
2,2,4,0.025266408920288086,1.0067393779754639,0.9324991703033447
2,2,5,0.025357961654663086,0.9938364028930664,0.9103283882141113
2,2,6,0.025974750518798828,1.0086686611175537,0.9130713939666748
2,2,7,0.02581334114074707,0.9909186363220215,0.9084055423736572
2,2,8,0.025351285934448242,1.0041449069976807,0.9211864471435547
4,4,3,0.020497560501098633,2.2873036861419678,3.0875377655029297
4,4,4,0.026241540908813477,3.02767276763916,3.836353302001953
4,4,5,0.025493860244750977,3.0703883171081543,3.845231533050537
4,4,6,0.02583479881286621,3.112985610961914,3.8954200744628906
4,4,7,0.026635408401489258,3.183561325073242,3.8711907863616943
4,4,8,0.02564096450805664,3.0771732330322266,3.883866786956787
6,6,3,0.02147078514099121,2.321242094039917,3.099944829940796
6,6,4,0.02589869499206543,3.094600200653076,3.853671073913574
6,6,5,0.025771617889404297,3.0445022583007812,3.811391830444336
6,6,6,0.026053905487060547,3.057788848876953,3.8270645141601562
6,6,7,0.02559685707092285,3.0333406925201416,3.842890977859497
6,6,8,0.02626514434814453,3.0931050777435303,3.8792834281921387
8,8,3,0.021831512451171875,2.323585271835327,3.0066540241241455
8,8,4,0.026694536209106445,3.1181657314300537,3.814707040786743
8,8,5,0.026302337646484375,3.0344293117523193,3.9095194339752197
8,8,6,0.025960445404052734,3.1031692028045654,3.8206725120544434
8,8,7,0.02601909637451172,3.0486299991607666,3.888216257095337
8,8,8,0.02597332000732422,3.0170016288757324,3.8809688091278076
