k,l,QI Level,Execution Time (k-Anonymity),Execution Time (Entropy ℓ-Diversity),Execution Time (Recursive ℓ-Diversity)
2,2,3,0.033356428146362305,1.8128008842468262,3.0725619792938232
2,2,4,0.08300900459289551,4.087763071060181,5.310166597366333
2,2,5,0.09379243850708008,6.779415607452393,6.748820781707764
2,2,6,0.08636951446533203,7.330912113189697,6.180740833282471
2,2,7,0.10362124443054199,4.789702415466309,4.895848035812378
2,2,8,0.08417201042175293,5.790090799331665,7.574586629867554
4,4,3,0.07620739936828613,2.0944762229919434,2.08075213432312
4,4,4,0.10280442237854004,3.529629707336426,2.5374414920806885
4,4,5,0.03137540817260742,1.4397835731506348,1.504305362701416
4,4,6,0.03203606605529785,1.3701145648956299,1.5251173973083496
4,4,7,0.03105616569519043,1.3997962474822998,1.377265453338623
4,4,8,0.0319819450378418,1.4915006160736084,1.2714810371398926
6,6,3,0.026331186294555664,0.6518592834472656,0.7662925720214844
6,6,4,0.02998495101928711,1.318777322769165,1.3790268898010254
6,6,5,0.031699180603027344,1.4561054706573486,1.4474396705627441
6,6,6,0.033759117126464844,1.5257453918457031,1.5115032196044922
6,6,7,0.037010908126831055,1.341428518295288,1.3268640041351318
6,6,8,0.040479183197021484,1.4218049049377441,1.4753317832946777
8,8,3,0.02640557289123535,0.6144654750823975,0.6812617778778076
8,8,4,0.041229248046875,1.5074985027313232,1.4022290706634521
8,8,5,0.03766632080078125,1.461954116821289,1.481851577758789
8,8,6,0.030161380767822266,1.4109141826629639,1.317683458328247
8,8,7,0.031099319458007812,1.4589107036590576,1.671990156173706
8,8,8,0.03729701042175293,1.4822900295257568,1.4139165878295898
